"Course ID","Subject code","Catalog Number","Offering Unit","Course Title","Course Description","Min Units","Max Units","Repeatable for Credit","Total Completions Allowed","Total Units Allowed","Grading Basis","Components","Course Attributes","Enrollment Requirements","Course Requisites"
"040555","CSC","317","Computer Science","Mobile Application Programming","Students will learn how to develop applications for mobile devices. The course will cover the necessary programming language(s), development environment, and a number of platform-specific APIs commonly used in mobile applications such as maps, location services, notifications, camera, and local storage. Other mobile-specific software development topics will be considered such as programming with limited computational and battery resources, client/server architecture, and cloud synchronization.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","-","CSC 210 or equivalent software development experience. Contact the instructor to determine if your background will suffice. Students may not have completed or be enrolled in CSCV 381.","-"
"009794","CSC","335","Computer Science","Object-Oriented Programming and Design","Fundamentals of object-oriented software development. Includes design principles, inheritance, polymorphism, Unified Modeling Language (UML), testing, event-driven programming with graphical user interfaces, applications of design patterns, and use of existing frameworks.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","-","CSC 210","-"
"036362","CSC","337","Computer Science","Web Programming","Introduction to the techniques and technologies for developing dynamic web sites. This course covers both client-side and server-side development. Client-side development will include HTML, CSS, Javascript, and AJAX. Server-side development will include web server development, deployment and integration with a DMBS. Other topics covered include: security concerns for web applications, password salting and hashing, and domains. This course includes a team project to deploy a web application.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","-","CSC 110 or ISTA 130 or ECE 101 or ECE 175.","-"
"040023","CSC","343","Computer Science","Human Computer Interaction","The course is a implementation-based introduction to basic concepts of human-computer interaction. Students will learn principles and skills for designing, programming, and evaluating interactive systems and demonstrate these skills through coursework. Topics include: system architecture, algorithms, data structures, verification, and software engineering techniques for implementing and managing interactive interfaces; methods of design and evaluation; and capabilities and limits of both computing devices and humans and their effect on design and implementation.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","-","CSC 210 and CSC 244.","-"
"009798","CSC","345","Computer Science","Analysis of Discrete Structures","Introduction to and analysis of algorithms and characteristics of discrete structures. Course topics include algorithm analysis techniques, recurrence relations, structural induction, hierarchical structures, graphs, hashing, and sorting.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","-","CSC 210 and CSC 244.","-"
"038211","CSC","346","Computer Science","Cloud Computing","This course focuses on cloud programming, with an emphasis on using the cloud to solve Big Data problems. The course will not only look at how distributed systems, databases, networks, etc. are used to implement cloud computing platforms and cloud applications, but also the impact of the infinite scalability and pay-as-you-go on the platforms and applications.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","-","CSC 120","-"
"039303","CSC","350","Computer Science","Fundamentals of Computer Science Theory","This course introduces the fundamentals of computer science theory, by surveying key concepts from (a) discrete mathematics, (b) data structures and algorithms, and (c) automata and formal languages, that form the foundation of theoretical computer science. The content is designed to provide in one course a broad survey of the essentials of computer science theory for non-majors. This course is not available for credit by computer science pre-majors or majors.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Discussion; Lecture","-","Grade of C or better in CSC 120. Not available for Computer Science pre-majors and majors.","-"
"009800","CSC","352","Computer Science","Systems Programming and Unix","Programming in C, including single and multi-dimensional arrays, lists, stacks, queues, trees, and bit manipulation. Unix topics, including debuggers, makefiles, shell programming, and other topics that support systems programming.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Laboratory; Lecture","-","CSC 210 and CSC 252.","-"
"042308","CSC","355","Computer Science","Discrete Structures and Basic Algorithms","Introduction to and analysis of algorithms and characteristics of discrete structures. Course topics include algorithm analysis, discrete data structures, sorting, hashing, search structures, basic design techniques (divide-and-conquer, dynamic programming, and greed) and graph algorithms.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","-","Advanced Standing: Engineering. ECE 201 and MATH 243. Students may not have completed or be enrolled in CSC 345.","-"
"009801","CSC","372","Computer Science","Comparative Programming Languages","Introduction to several major high-level programming languages and their characteristics. Programming projects are required in at least three languages.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Discussion; Lecture","-","CSC 210","-"
"041801","CSC","380","Computer Science","Principles of Data Science","The course introduces students to principles of data science that are necessary for computer scientists to make effective decisions in their professional careers. A number of computer science sub-disciplines now rely on data collection and analysis. For example, computer systems are now complicated enough that comparing the execution performance of two different programs becomes a statistical estimation problem rather than a deterministic computation. This course teaches students the basic principles of how to properly collect and process data sources in order to derive appropriate conclusions from them. The course has three main components: data analysis, machine learning, and a project where students apply the concepts discussed in class to a substantial open-ended problem.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","-","CSC 210 and CSC 244 and (MATH 122B or MATH 125 or MATH 129).","-"
"040219","CSC","382","Computer Science","Software Development in C++","This course will build upon students' knowledge of C to become proficient at programming in C++. Topics include testing, classes, templates, inheritance, operator overloading, object-oriented design, the Standard Template Library (STL), and event-driven programming with graphical user interfaces. This course also examines features of the newer versions of C++.­ The course includes a large team project at the end of the semester.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","-","CSC 352 or ECE 275","-"
"009806","CSC","391","Computer Science","Preceptorship","Specialized work on an individual basis, consisting of instruction and practice in actual service in a department, program, or discipline. Teaching formats may include seminars, in-depth studies, laboratory work and patient study.","1","4","Yes","99","99","SPF - Alternative Grading S, P, F","Independent Study","-","-","-"
"009807","CSC","392","Computer Science","Directed Research","Individual or small group research under the guidance of faculty.","1","3","Yes","99","6","GRD - Regular Grades A, B, C, D, E","Independent Study","-","-","-"
"043172","CSC","396","Computer Science","Special Topics in Computer Science Seminar","This undergraduate seminar studies special topics in Computer Science within a small group format. Through selected readings, presentations, and group discussions, students will take a discussion-based learning approach. Specific topics will be determined by current topics of interest by the instructor and in special cases, the students.","1","3","Yes","2","6","GRD - Regular Grades A, B, C, D, E","Seminar","-","-","-"
"009810","CSC","399","Computer Science","Independent Study","Qualified students working on an individual basis with professors who have agreed to supervise such work.","1","3","Yes","99","999","SPF - Alternative Grading S, P, F","Independent Study","-","-","-"
"009811","CSC","399H","Computer Science","Honors Independent Study","Qualified students working on an individual basis with professors who have agreed to supervise such work.","1","3","Yes","99","999","GRD - Regular Grades A, B, C, D, E","Independent Study","HNRS - HCRS (Honors Course)","Student must be active in the Honors College.","-"
"026241","CSC","401A","-","Symbolic Logic","Intermediate propositional logic and quantificational theory, natural deduction, axiom systems, elementary metatheorems, introduction to notions of modal logic, selected topics in philosophy of logic. Credit allowed for only one of these courses: PHIL 401A, PHIL 402.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","CE - CL (Cross Listed)","-","-"
"026242","CSC","401B","-","Symbolic Logic","Advanced propositional logic and quantification theory; metatheorems on consistency, independence, and completeness; set theory, number theory, and modal theory; recursive function theory and Goedel's incompleteness theorem.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","CE - CL (Cross Listed)","-","-"
"009819","CSC","422","Computer Science","Introduction to Parallel and Distributed Programming","Concepts and applications of parallel and distributed programs. Process interaction using shared variables and message passing; parallel computing; development of correct programs; general problem solving techniques; scientific computing; distributed systems. Programming assignments on multiple processor machines.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Discussion; Lecture","-","017097","-"
"009820","CSC","425","Computer Science","Computer Networking","Theory and practice of computer networks, emphasizing the principles underlying the design of network software and the role of the communications system in distributed computing. Topics include routing, flow and congestion control, end-to-end protocols, and multicast.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Discussion; Lecture","-","CSC 252, and CSC 352.","-"
"009823","CSC","433","Computer Science","Computer Graphics","Theory and practice of computer graphics: basic graphics programming, 2D and 3D transformations, clipping, 2D and 3D viewing, hierarchical modeling, hidden surface removal, lighting and shading, color, ray-tracing, radiosity, curve and surface modeling, and animation.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Discussion; Lecture","-","CSC 252, CSC 335, CSC 345, CSC 352, and (MATH 215 or MATH 313).","-"
"009825","CSC","436","Computer Science","Software Engineering","Introduces fundamental software engineering techniques for developing correct, efficient, reliable, maintainable, and evolvable software for large software projects. The class project gives an experience in using evolutionary software development processes for developing a high-quality, evolvable software product that addresses emerging customer requirements.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Discussion; Lecture","SEA - PD (Professional Development), SEC - INC (Innovation and Creativity)","CSC 252, CSC 335, CSC 345, and CSC 352.","-"
"009826","CSC","437","Computer Science","Geometric Algorithms","The study of algorithms for geometric objects, using a computational geometry approach, with an emphasis on applications for graphics, VLSI, GIS, robotics, and sensor networks. Topics may include the representation and overlaying of maps, finding nearest neighbors, solving linear programming problems, and searching geometric databases.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Discussion; Lecture","WE - WEC (Writing Emphasis Course)","CSC 345","-"
"019833","CSC","438","-","Computational Linguistics","Fundamentals of formal language theory; syntactic and semantic processing; the place of world knowledge in natural language processing.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","CE - CL (Cross Listed)","-","LING 388 or a course in one of the following: formal languages, syntax, data structures, or compilers."
"019834","CSC","439","-","Statistical Natural Language Processing","This course introduces the key concepts underlying statistical natural language processing. Students will learn a variety of techniques for the computational modeling of natural language, including: n-gram models, smoothing, Hidden Markov models, Bayesian Inference, Expectation Maximization, Viterbi, Inside-Outside Algorithm for Probabilistic Context-Free Grammars, and higher-order language models.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","CE - CL (Cross Listed)","018522","Recommended completion of 1 course from: ISTA 350, CSC 345, DATA 375, LING 388 or LING 438, or equivalent."
"038453","CSC","444","Computer Science","Data Visualization","This course will present the fundamentals of data visualization, the art and science of using a computer to generate visual depictions of data. The course will present the foundations of graphic design, perceptual psychology and cognitive science, as well as the algorithmic basis for many for the visualization techniques. While statistical techniques may determine correlations among the data, visualization helps us frame what questions to ask.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","-","CSC 345, and CSC 335.","-"
"009831","CSC","445","Computer Science","Algorithms","Introduction to the design and analysis of algorithms: basic analysis techniques (asymptotics, sums, recurrences); basic design techniques (divide and conquer, dynamic programming, greedy, amortization); acquiring an algorithm repertoire (sorting, median finding, strong components, spanning trees, shortest paths, maximum flow, string matching); and handling intractability (approximation algorithms, branch and bound).","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Discussion; Lecture","WE - WEC (Writing Emphasis Course)","CSC 345.","-"
"035941","CSC","447","Computer Science","Green Computing","This course covers fundamental principles of energy management faced by designers of hardware, operating systems, and data centers. We will explore basic energy management option in individual components such as CPUs, network interfaces, hard drives, memory. We will further present the energy management policies at the operating system level that consider performance vs. energy saving tradeoffs. Finally we will consider large scale data centers where energy management is done at multiple layers from individual components in the system to shutting down entries subset of machines. We will also discuss energy generation and delivery and well as cooling issues in large data centers.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","-","CSC 252 and CSC 352.","-"
"036458","CSC","450","Computer Science","Algorithms in Bioinformatics","This course introduces fundamental results in discrete algorithms for combinatorial problems in bioinformatics and computational biology. The emphasis is on realistic models of computational problems that arise in the analysis of biological data, and practical algorithms for their solution. The content has depth in the area of biological sequence analysis, and breadth in areas such as phylogeny construction, protein structure prediction, and genome rearrangement analysis. Grades are based on homeworks, exams, programming projects, and a class presentation.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","-","CSC 345","For both computer science and non-computer science majors, mathematical maturity will be helpful."
"009835","CSC","452","Computer Science","Principles of Operating Systems","Concepts of modern operating systems; concurrent processes; process synchronization and communication; resource allocation; kernels; deadlock; memory management; file systems.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","-","CSC 252, CSC 345, and CSC 352.","-"
"009836","CSC","453","Computer Science","Compilers and Systems Software","Basic concepts of compilation and related systems software. Topics include lexical analysis, parsing, semantic analysis, code generation; assemblers, loaders, linkers; debuggers.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","-","CSC 252, CSC 345, and CSC 352.","CSC 372 recommended."
"026292","CSC","455","-","Philosophy and Artificial Intelligence","Interdisciplinary problems lying at the interface of philosophy and artificial intelligence.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","CE - CL (Cross Listed)","-","-"
"009838","CSC","460","Computer Science","Database Design","Functions of a database system. Data modeling and logical database design. Query languages and query optimization. Efficient data storage and access. Database access through standalone and web applications.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Discussion; Lecture","-","CSC 335, and CSC 345.","-"
"043366","CSC","465","Computer Science","Reverse Engineering vs. Software Protection","This course teaches tools and techniques for dissecting and understanding an unknown piece of (potentially malicious) low-level code. In particular, the course covers fundamental program analysis techniques, reverse engineering algorithms and tools, and algorithms for protecting software (such as computer games, mobile code, critical infrastructure, malware, and media) against reverse engineering attacks. Additionally, the course provides a strong foundation for the understanding of low-level programming, including assembly code, binary code, and executable file formats.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","-","CSC 252, and CSC 352.","-"
"035911","CSC","466","Computer Science","Computer Security","This is an introductory course covering the fundamentals of computer security. In particular, the course will cover basic concepts of computer security such as threat models and security policies, and will show how these concepts apply to specific areas such as communication security, software security, operating systems security, network security, web security, and hardware-based security.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","-","CSC 252, and CSC 352.","-"
"009843","CSC","473","Computer Science","Automata, Grammars and Languages","Introduction to models of computation (finite automata, pushdown automata, Turing machines), representations of languages (regular expressions, context-free grammars), and the basic hierarchy of languages (regular, context-free, decidable, and undecidable languages).","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Discussion; Lecture","WE - WEC (Writing Emphasis Course)","CSC 345","-"
"012196","CSC","474A","-","Computer-Aided Logic Design","Tabular minimization of single and multiple output Boolean functions, NMOS and CMOS realizations, synthesis of sequential circuits, RTL description, laboratory exercises.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","CE - CL (Cross Listed)","015063","ECE 274."
"009850","CSC","477","Computer Science","Introduction to Computer Vision","Overview of algorithms for analyzing image data. Topics include image formation, physics-based vision, linear filtering, edge detection, multiple view geometry, segmentation, tracking, and recognition.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Discussion; Lecture","-","CSC 252, CSC 335, CSC 345, CSC 352, and (MATH 215 or MATH 313).","Knowledge of probability and CSC 433 (or computer graphics) helpful."
