"Course ID","Subject code","Catalog Number","Offering Unit","Course Title","Course Description","Min Units","Max Units","Repeatable for Credit","Total Completions Allowed","Total Units Allowed","Grading Basis","Components","Course Attributes","Enrollment Requirements","Course Requisites"
"009882","CSC","536","Computer Science","Software Engineering","Introduces fundamental software engineering techniques for developing correct, efficient, reliable, maintainable, and evolvable software for large software projects. The class project gives an experience in using evolutionary software development processes for developing a high-quality, evolvable software product that addresses emerging customer requirements. Graduate-level requirements include extra reading assignments on advanced topics and home assignments on these readings.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","-","-","-"
"009883","CSC","537","Computer Science","Geometric Algorithms","The study of algorithms for geometric objects, using a computational geometry approach, with an emphasis on applications for graphics, VLSI, GIS, robotics, and sensor networks. Topics may include the representation and overlaying of maps, finding nearest neighbors, solving linear programming problems, and searching geometric databases. Graduate-level requirements include reading a paper in the field of computational geometry or related literature and discussing this paper with the instructor.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","-","-","-"
"019928","CSC","538","-","Computational Linguistics","Fundamentals of formal language theory; syntactic and semantic processing; the place of world knowledge in natural language processing. Graduate-level requirements include a greater number of assignments and a higher level of performance.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Laboratory; Lecture","CE - CL (Cross Listed), GIDP - COGS (Cognitive Science), GIDP - SLAT (Sec. Lang. Acquisition & Teach)","-","-"
"019929","CSC","539","-","Statistical Natural Language Processing","This course introduces the key concepts underlying statistical natural language processing. Students will learn a variety of techniques for the computational modeling of natural language, including: n-gram models, smoothing, Hidden Markov models, Bayesian Inference, Expectation Maximization, Viterbi, Inside-Outside Algorithm for Probabilistic Context-Free Grammars, and higher-order language models. Graduate-level requirements include assignments of greater scope than undergraduate assignments. In addition to being more in-depth, graduate assignments are typically longer and additional readings are required.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","CE - CL (Cross Listed), GIDP - COGS (Cognitive Science), GIDP - SLAT (Sec. Lang. Acquisition & Teach), GIDP - STATD (Statistics and Data Science)","-","two semesters of programming or equivalent"
"021089","CSC","543","-","Theory of Graphs and Networks","[Taught Fall semester in even-numbered years] Undirected and directed graphs, connectivity, circuits, trees, partitions, planarity, coloring problems, matrix methods, applications in diverse disciplines. Graduate-level requirements include more extensive problem sets or advanced projects.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","CE - CL (Cross Listed), GIDP - STATD (Statistics and Data Science)","-","-"
"038454","CSC","544","Computer Science","Advanced Data Visualization","Data visualization is a research area that focuses on the use of visualization techniques to help people understand and analyze data. Visualization allows us to perceive relationships, patterns, and trends. While statistical techniques may determine correlations among the data, visualization helps us frame what questions to ask. Providing efficient and effective data visualization is a difficult challenge in many real world examples. One challenge lies in developing algorithmically efficient methods to visualize large and complex data sets. Another challenge is to develop effective visualizations that make the underlying patterns and trends easy to see. Even tougher is the challenge of providing interactive access, analysis, and filtering. All of these tasks become still more difficult with the size of the data sets arising in modern applications.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","GIDP - GC (Global Change)","-","-"
"009891","CSC","545","Computer Science","Design and Analysis of Algorithms","Time, space complexity, recurrences, algorithm design techniques, lower bounds; graph, matrix, set algorithms; sorting, fast Fourier transform, arithmetic complexity, intractable problems.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","-","-","CSC 445, CSC 473, MATH 362."
"035942","CSC","547","Computer Science","Green Computing","This course covers fundamental principles of energy management faced by designers of hardware, operating systems, and data centers. We will explore basic energy management option in individual components such as CPUs, network interfaces, hard drives, memory. We will further present the energy management policies at the operating system level that consider performance vs. energy saving tradeoffs. Finally we will consider large scale data centers where energy management is done at multiple layers from individual components in the system to shutting down entries subset of machines. We will also discuss energy generation and delivery and well as cooling issues in large data centers. In addition to the assignments listed for undergraduates, Graduate-level requirements include a detailed review of the three recent conference publications dealing with energy efficiency.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","GIDP - GC (Global Change)","-","CSC 452 or equivalent course in operating systems."
"036459","CSC","550","Computer Science","Algorithms in Bioinformatics","This course introduces fundamental results in discrete algorithms for combinatorial problems in bioinformatics and computational biology. The emphasis is on realistic models of computational problems that arise in the analysis of biological data, and practical algorithms for their solution. The content has depth in the area of biological sequence analysis, and breadth in areas such as phylogeny construction, protein structure prediction, and genome rearrangement analysis. Grades are based on homeworks, exams, programming projects, and a class presentation.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","GIDP - STATD (Statistics and Data Science)","-","CSC 545. For both computer science and non-computer science majors, mathematical maturity will be helpful."
"009895","CSC","552","Computer Science","Advanced Operating Systems","Operating system design, implementation and modeling; deadlock and memory management models; protection mechanisms; operating systems for parallel and distributed systems.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","-","-","CSC 452."
"009896","CSC","553","Computer Science","Principles of Compilation","Detailed study of advanced compilation: translator writing systems, attribute grammars, flow analysis, optimization, register allocation, code generation, compiling for modern architectures.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","-","-","CSC 453, CSC 473."
"026366","CSC","555","-","Philosophy and Artificial Intelligence","Interdisciplinary problems lying at the interface of philosophy and artificial intelligence. Courses for which students receive the grade of P (Pass) do not satisfy requirements for the M.A. or Ph.D. or minor in philosophy. Graduate-level requirements include an in-depth research paper on a central theme or topic of the course.","3","3","No","-","-","OPT - Student Option ABCDE/PF","Lecture","CE - CL (Cross Listed), GIDP - COGS (Cognitive Science)","-","-"
"009898","CSC","560","Computer Science","Database Systems Implementation","Emphasis on DBMS architecture and implementation issues such as storage structures, multidimensional index structures, query optimization, concurrency control and recovery, and parallel database systems.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","-","-","CSC 460."
"035912","CSC","566","Computer Science","Computer Security","This is an introductory course covering the fundamentals of computer security. In particular, the course will cover basic concepts of computer security such as threat models and security policies, and will show how these concepts apply to specific areas such as communication security, software security, operating systems security, network security, web security, and hardware-based security. Graduate-level requirements include an additional project/essay/in-class presentation.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","-","-","CSC 352 or similar course in systems programming."
"009906","CSC","573","Computer Science","Theory of Computation","Chomsky hierarchy, undecidability; general recursive functions; recursion theory; computational complexity theory, NP-complete and provably intractable problems.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","CE - CL (Cross Listed), GIDP - COGS (Cognitive Science)","-","CSC 473."
